PRODUTO;CATEGORIA
LOCA FRESH GIN;BEBIDAS
TAÇA VINHO LOCA;BEBIDAS
SANGRIA F.VERMELHAS;BEBIDAS
CORTESIA ANIVERS. /DRINK;BEBIDAS
CLERICOT TAÇA;BEBIDAS
CAIPIROSCA F VERMELHAS;BEBIDAS
JARRA SANGRIA F.VERMELHAS;BEBIDAS
CAIPIRINHA MIEL-O;BEBIDAS
PIRULITO BARRIGA;COMIDA
RUBACÃO NORMAL;COMIDA
WINE DEGUSTAÇÃO;BEBIDAS
LATA VIERBRAUER;CERVEJAS
HEINEKEN LN EV;CERVEJAS
VIERBRAUER;CERVEJAS
CERVEJA ORIGINAL;CERVEJAS
STELLA 600 ML;CERVEJAS
COLORADO VIXNU;CERVEJAS
TAÇA VINHO LOCA SUMMER;BEBIDAS
JULIA FLORISTA;BEBIDAS
RIBERA CABERNET SAUVIGNON;BEBIDAS
TORRE TEMPRANILLO;BEBIDAS
1913 SPARKLING BRUIT;BEBIDAS
DOSE TANQUERAY;BEBIDAS
MONTEPULCIANO;BEBIDAS
CAIPIRINHA F VERMELHAS;BEBIDAS
CAIPIROSCA MIEL-O;BEBIDAS
DOC CHANTEL;BEBIDAS
MOCO FIDALGO ROSE;BEBIDAS
NORTON MALBEC DOC 2018;BEBIDAS
4 ESTAÇÕES VIOGNIER;BEBIDAS
CHAKA MERLOT;BEBIDAS
TORRE SAUVIGNONN BLANC;BEBIDAS
CHAC CHAC MALBEC;BEBIDAS
DOSE APEROL;BEBIDAS
4 ESTAÇÕES MALBEC 2019;BEBIDAS
DOSE BAILEYS;BEBIDAS
BARON RESERVA;BEBIDAS
APEROL SPRITZ EV;BEBIDAS
LA VID TINTO;BEBIDAS
DOSE JAMERSON IPA;BEBIDAS
ESP. CORDELIER BRUT/ROSE;BEBIDAS
ESPUMANTE SALTON BRUT;BEBIDAS
VINHO ROSE BLEND;BEBIDAS
VINHO 4 ESTACIONES SUMMER;BEBIDAS
SONANTE DÃO PORT;BEBIDAS
DRINK CHA DE LA MADRE;BEBIDAS
VISTA CALMA CABERNET;BEBIDAS
LOCA PINK EV;BEBIDAS
VINHO ROSE EV;BEBIDAS
LICOR COINTREAU;BEBIDAS
RIBERA SAUVIGNON BLANC;BEBIDAS
DRINK EM LATA FIVE VOILA;BEBIDAS
VISTA CALMA MALBEC;BEBIDAS
4 ESTAÇÕES ROSE 2019;BEBIDAS
PARMEGIANA DE CARNE;COMIDA
PIRULITO FRANGO;COMIDA
ESTROGONOFE FRANGO;COMIDA
CHEDDAR BURGER;COMIDA
TABUA DE FRIOS EV;COMIDA
PASTEIS QUEIJO REINO EV;COMIDA
ESTROGONOFE DE FRANGO 2 P;COMIDA
ENSOPADINHO POLVO;COMIDA
BOLINHO AC. ALMOÇO;COMIDA
MILHO MEXICANO;COMIDA
RUBACÃO;COMIDA
CHURROS ALMOÇO;COMIDA
DADINHOS QUEIJO COALHO CO;COMIDA
FISH AND CHIPS EV;COMIDA
BOLINHO ACOSTELADO EV;COMIDA
PIRULITO VEGETAIS;COMIDA
PARMEGIANA;COMIDA
MOQUECA DE TILAPIA;COMIDA
SALADA VERDE;COMIDA
DADINHO DE CARNE DE SOL;COMIDA
ESPAGUETE LEGUMES;COMIDA
CHORIPAN EV;COMIDA
BROWNIE CHOCOLATE;COMIDA
MOQUECA PARAIBANA;COMIDA
SALADA DA CASA;COMIDA
CAMISETA LOCA;SOUVENIR
EXECUTIVO ALMOÇO;COMIDA
BUCKET LOCA;SOUVENIR
BONE;SOUVENIR
VELA G;SOUVENIR
CANECA LOCA;SOUVENIR
PORTA LONG NECK LOCA;SOUVENIR
CANECA MOSCOW;BEBIDAS
BOLSA PRAIA PANO;SOUVENIR
LOCA PINK PROMO;DIVERSOS
BALDE SOL EV;CERVEJAS
SABONETES MIELO;SOUVENIR
PIRULITO;COMIDA
